Title|Free Text
א.ל.מ.ת|[[category:Hebrew roots]]
א.ל.מ.מ|[[category:Hebrew roots]]
א.ל.מ.נ|[[category:Hebrew roots]]
א.ל.מ.ת|[[category:Hebrew roots]]
א.ל.פ|[[category:Hebrew roots]]
א.ל.צ|[[category:Hebrew roots]]
א.ל.ר.ח|[[category:Hebrew roots]]
א.ל.ת.ר|[[category:Hebrew roots]]
א.מ|[[category:Hebrew roots]]
א.מ.ב.ט|[[category:Hebrew roots]]
א.מ.ד|[[category:Hebrew roots]]
א.מ.ה|[[category:Hebrew roots]]
א.מ.ל|[[category:Hebrew roots]]
א.מ.ל.ל|[[category:Hebrew roots]]
א.מ.ל.ל|[[category:Hebrew roots]]
א.מ.מ|[[category:Hebrew roots]]
א.מ.נ|[[category:Hebrew roots]]
א.מ.צ|[[category:Hebrew roots]]
א.מ.ר|[[category:Hebrew roots]]
א.מ.ש|[[category:Hebrew roots]]
א.מ.ת|[[category:Hebrew roots]]
א.נ.ב|[[category:Hebrew roots]]
א.נ.ה|[[category:Hebrew roots]]
א.נ.ח|[[category:Hebrew roots]]
א.נ.כ|[[category:Hebrew roots]]
א.נ.נ|[[category:Hebrew roots]]
א.נ.ס|[[category:Hebrew roots]]
א.נ.פ|[[category:Hebrew roots]]
א.נ.פ.פ|[[category:Hebrew roots]]
א.נ.פ.פ|[[category:Hebrew roots]]
א.נ.ק|[[category:Hebrew roots]]
א.נ.ק.ל|[[category:Hebrew roots]]
א.נ.ש|[[category:Hebrew roots]]
א.ס.ל.מ|[[category:Hebrew roots]]
א.ס.מ|[[category:Hebrew roots]]
א.ס.נ|[[category:Hebrew roots]]
א.ס.פ|[[category:Hebrew roots]]
א.ס.ר|[[category:Hebrew roots]]
א.פ.ד|[[category:Hebrew roots]]
א.פ.ה|[[category:Hebrew roots]]
א.פ.ז|[[category:Hebrew roots]]
א.פ.י.נ|[[category:Hebrew roots]]
א.פ.ל|[[category:Hebrew roots]]
א.פ.ל.ל|[[category:Hebrew roots]]
א.פ.ל.ל|[[category:Hebrew roots]]
א.פ.נ|[[category:Hebrew roots]]
א.פ.נ.נ|[[category:Hebrew roots]]
א.פ.ס|[[category:Hebrew roots]]
א.פ.ס.ר|[[category:Hebrew roots]]
א.פ.פ|[[category:Hebrew roots]]
א.פ.צ|[[category:Hebrew roots]]
א.פ.ק|[[category:Hebrew roots]]
א.פ.ר|[[category:Hebrew roots]]
א.פ.ר.ר|[[category:Hebrew roots]]
א.פ.ש.ר|[[category:Hebrew roots]]
א.צ.ב.ע|[[category:Hebrew roots]]
א.צ.ל|[[category:Hebrew roots]]
א.צ.צ|[[category:Hebrew roots]]
א.צ.ר|[[category:Hebrew roots]]
א.ק.ה|[[category:Hebrew roots]]
א.ק.ל.מ|[[category:Hebrew roots]]
א.ר.ב|[[category:Hebrew roots]]
א.ר.ב.ל|[[category:Hebrew roots]]
א.ר.ג|[[category:Hebrew roots]]
א.ר.ג.מ.נ|[[category:Hebrew roots]]
א.ר.ג.נ|[[category:Hebrew roots]]
ש.ר.ג.נ|[[category:Hebrew roots]]
א.ר.ד|[[category:Hebrew roots]]
א.ר.ה|[[category:Hebrew roots]]
א.ר.ז|[[category:Hebrew roots]]
א.ר.ח|[[category:Hebrew roots]]
א.ר.כ|[[category:Hebrew roots]]
א.ר.מ|[[category:Hebrew roots]]
א.ר.מ.ל|[[category:Hebrew roots]]
א.ר.ס|[[category:Hebrew roots]]
א.ר.ע|[[category:Hebrew roots]]
ע.ר.ע|[[category:Hebrew roots]]
א.ר.צ|[[category:Hebrew roots]]
א.ר.ק|[[category:Hebrew roots]]
א.ר.ר|[[category:Hebrew roots]]
נ.א.ר|[[category:Hebrew roots]]
א.ר.ׁ.ש|[[category:Hebrew roots]]
א.ר.ׂ.ש|[[category:Hebrew roots]]
א.ר.ס|[[category:Hebrew roots]]
א.ש.ד|[[category:Hebrew roots]]
א.ש.ה|[[category:Hebrew roots]]
א.ש.כ|[[category:Hebrew roots]]
א.ש.כ.ל|[[category:Hebrew roots]]
א.ש.כ.נ.ז|[[category:Hebrew roots]]
א.ש.ל|[[category:Hebrew roots]]
א.ש.מ|[[category:Hebrew roots]]
א.ש.נ|[[category:Hebrew roots]]
א.ש.נ.ב|[[category:Hebrew roots]]
א.ש.פ|[[category:Hebrew roots]]
א.ש.פ.ז|[[category:Hebrew roots]]
א.ש.פ.ר|[[category:Hebrew roots]]
א.ש.ר|[[category:Hebrew roots]]
א.ש.ר.ר|[[category:Hebrew roots]]
א.ש.ר.ר|[[category:Hebrew roots]]
א.ש.ש|[[category:Hebrew roots]]
א.ש.ת|[[category:Hebrew roots]]
א.ת.א|[[category:Hebrew roots]]
א.ת.ג.ר|[[category:Hebrew roots]]
א.ת.ה|[[category:Hebrew roots]]
א.ת.א|[[category:Hebrew roots]]
א.ת.ח.ל|[[category:Hebrew roots]]
א.ת.נ|[[category:Hebrew roots]]
א.ת.ק|[[category:Hebrew roots]]
א.ת.ר|[[category:Hebrew roots]]
א.ת.ת|[[category:Hebrew roots]]
א.ר|[[category:Hebrew roots]]
ב.א.ש|[[category:Hebrew roots]]
ב.ב.א|[[category:Hebrew roots]]
ב.ב.ה|[[category:Hebrew roots]]
ב.ו.ב|[[category:Hebrew roots]]
ב.ג.ד|[[category:Hebrew roots]]
ב.ג.ה|[[category:Hebrew roots]]
ב.ג.ר|[[category:Hebrew roots]]
ב.ד.א|[[category:Hebrew roots]]
ב.ד.ד|[[category:Hebrew roots]]
ב.ד.ה|[[category:Hebrew roots]]
ב.ד.א|[[category:Hebrew roots]]
ב.ד.ח|[[category:Hebrew roots]]
ב.ד.ח.נ|[[category:Hebrew roots]]
ב.ד.ח.נ|[[category:Hebrew roots]]
ב.ד.ל|[[category:Hebrew roots]]
ב.ד.ל.ח|[[category:Hebrew roots]]
ב.ד.ק|[[category:Hebrew roots]]
ב.ד.ר|[[category:Hebrew roots]]
ב.ה.א|[[category:Hebrew roots]]
ב.ה.ה|[[category:Hebrew roots]]
ב.ה.א|[[category:Hebrew roots]]
ב.ה.ט|[[category:Hebrew roots]]
ב.ה.ל|[[category:Hebrew roots]]
ב.ה.מ|[[category:Hebrew roots]]
ב.ה.נ|[[category:Hebrew roots]]
ב.ה.ק|[[category:Hebrew roots]]
ב.ה.ר|[[category:Hebrew roots]]
ב.ה.ת|[[category:Hebrew roots]]
ב.ו.א|[[category:Hebrew roots]]
י.ב.א|[[category:Hebrew roots]]
ב.ו.ב|[[category:Hebrew roots]]
ב.ו.ז|[[category:Hebrew roots]]
ב.ו.כ|[[category:Hebrew roots]]
ב.ו.ל|[[category:Hebrew roots]]
ו.מ|[[category:Hebrew roots]]
ב.ו.נ|[[category:Hebrew roots]]
ב.ו.ס|[[category:Hebrew roots]]
ב.ו.ע|[[category:Hebrew roots]]
ב.ו.צ|[[category:Hebrew roots]]
ב.ו.ק|[[category:Hebrew roots]]
ב.ו.ר|[[category:Hebrew roots]]
ב.ו.ש|[[category:Hebrew roots]]
נ.ב.ש.ש|[[category:Hebrew roots]]
ב.ו.ש.ש|[[category:Hebrew roots]]
ב.ז.א|[[category:Hebrew roots]]
ב.ז.ב.ז|[[category:Hebrew roots]]
ב.ז.ה|[[category:Hebrew roots]]
ז.ז|[[category:Hebrew roots]]
ב.ז.ב.ז|[[category:Hebrew roots]]
ב.ז.ע|[[category:Hebrew roots]]
ב.ז.ק|[[category:Hebrew roots]]
ב.ז.ר|[[category:Hebrew roots]]
ב.ח.ה|[[category:Hebrew roots]]
ב.ח.ל|[[category:Hebrew roots]]
ב.ח.נ|[[category:Hebrew roots]]
א.ב.ח.נ|[[category:Hebrew roots]]
ב.ח.ר|[[category:Hebrew roots]]
ב.ח.ש|[[category:Hebrew roots]]
ב.ט.א|[[category:Hebrew roots]]
ב.ט.ב.ט|[[category:Hebrew roots]]
ב.ט.ה|[[category:Hebrew roots]]
ב.ט.א|[[category:Hebrew roots]]
ב.ט.ח|[[category:Hebrew roots]]
א.ב.ט.ח|[[category:Hebrew roots]]
ב.ט.ל|[[category:Hebrew roots]]
ב.ט.נ|[[category:Hebrew roots]]
ב.ט.נ.נ|[[category:Hebrew roots]]
ב.ט.ש|[[category:Hebrew roots]]
ב.י.ב|[[category:Hebrew roots]]
ב.י.ה|[[category:Hebrew roots]]
ב.י.ל|[[category:Hebrew roots]]
ב.י.מ|[[category:Hebrew roots]]
ב.י.נ|[[category:Hebrew roots]]
ב.י.ס|[[category:Hebrew roots]]
ב.י.ע|[[category:Hebrew roots]]
ב.י.צ|[[category:Hebrew roots]]
ב.י.ר|[[category:Hebrew roots]]
ב.י.ש|[[category:Hebrew roots]]
ב.י.ת|[[category:Hebrew roots]]
ב.כ.א|[[category:Hebrew roots]]
ב.כ.ב.כ|[[category:Hebrew roots]]
ב.כ.ה|[[category:Hebrew roots]]
ב.כ.י.נ|[[category:Hebrew roots]]
ב.כ.ב.כ|[[category:Hebrew roots]]
ב.כ.י.נ|[[category:Hebrew roots]]
ב.כ.ר|[[category:Hebrew roots]]
ב.ל.א|[[category:Hebrew roots]]
ב.ל.ב.ל|[[category:Hebrew roots]]
ב.ל.ג|[[category:Hebrew roots]]
ב.ל.ג.נ|[[category:Hebrew roots]]
ב.ל.ג.נ|[[category:Hebrew roots]]
ב.ל.ה|[[category:Hebrew roots]]
ב.ל.ח|[[category:Hebrew roots]]
ב.ל.ט|[[category:Hebrew roots]]
ב.ל.ל|[[category:Hebrew roots]]
ב.ל.מ|[[category:Hebrew roots]]
ב.ל.מ.ס|[[category:Hebrew roots]]
ב.ל.ס|[[category:Hebrew roots]]
ב.ל.ע|[[category:Hebrew roots]]
ב.ל.ע.ד|[[category:Hebrew roots]]
ב.ל.פ|[[category:Hebrew roots]]
ב.ל.ק|[[category:Hebrew roots]]
ב.ל.ש|[[category:Hebrew roots]]
ב.מ.ב.מ|[[category:Hebrew roots]]
ב.מ.ה|[[category:Hebrew roots]]
ב.נ.א.מ|[[category:Hebrew roots]]
ב.נ.ה|[[category:Hebrew roots]]
ת.ב.נ.ת|[[category:Hebrew roots]]
ב.נ.ט|[[category:Hebrew roots]]
ב.נ.נ|[[category:Hebrew roots]]
ב.ס.ב.ס|[[category:Hebrew roots]]
ב.ס.ה|[[category:Hebrew roots]]
ב.ס.מ|[[category:Hebrew roots]]
ב.ס.ס|[[category:Hebrew roots]]
ב.ס.ר|[[category:Hebrew roots]]
ב.ע.ב.ע|[[category:Hebrew roots]]
ב.ע.ד|[[category:Hebrew roots]]
ב.ע.ה|[[category:Hebrew roots]]
ב.ע.ט|[[category:Hebrew roots]]
ב.ע.ט.ט|[[category:Hebrew roots]]
ב.ע.ט.ט|[[category:Hebrew roots]]
ב.ע.ל|[[category:Hebrew roots]]
ב.ע.צ|[[category:Hebrew roots]]
ב.ע.ר|[[category:Hebrew roots]]
ב.ע.ת|[[category:Hebrew roots]]
ב.צ.א|[[category:Hebrew roots]]
ב.צ.ב.צ|[[category:Hebrew roots]]
ב.צ.ה|[[category:Hebrew roots]]
ב.צ.ל|[[category:Hebrew roots]]
ב.צ.ע|[[category:Hebrew roots]]
ב.צ.צ|[[category:Hebrew roots]]
ב.צ.ב.צ|[[category:Hebrew roots]]
ב.צ.ק|[[category:Hebrew roots]]
ב.צ.ר|[[category:Hebrew roots]]
ב.ק.א|[[category:Hebrew roots]]
ב.ק.ב.ק|[[category:Hebrew roots]]
ב.ק.ה|[[category:Hebrew roots]]
ב.ק.א|[[category:Hebrew roots]]
ב.ק.ע|[[category:Hebrew roots]]
ב.ק.ק|[[category:Hebrew roots]]
ב.ק.ר|[[category:Hebrew roots]]
ב.ק.ש|[[category:Hebrew roots]]
ב.ר.א|[[category:Hebrew roots]]
ב.ר.ב.ר|[[category:Hebrew roots]]
ב.ר.ג|[[category:Hebrew roots]]
ב.ר.ג.ז|[[category:Hebrew roots]]
ב.ר.ג.נ|[[category:Hebrew roots]]
ב.ר.ד|[[category:Hebrew roots]]
ב.ר.ה|[[category:Hebrew roots]]
ב.ר.ז|[[category:Hebrew roots]]
ב.ר.ז.ג|[[category:Hebrew roots]]
ב.ר.ז.ל|[[category:Hebrew roots]]
ב.ר.ח|[[category:Hebrew roots]]
ב.ר.י.נ|[[category:Hebrew roots]]
ב.ר.כ|[[category:Hebrew roots]]
ב.ר.מ|[[category:Hebrew roots]]
ב.ר.ס|[[category:Hebrew roots]]
ב.ר.ס.ק|[[category:Hebrew roots]]
ב.ר.צ|[[category:Hebrew roots]]
ב.ר.ק|[[category:Hebrew roots]]
ב.ר.ר|[[category:Hebrew roots]]
ב.ר.ש|[[category:Hebrew roots]]
ב.ר.ת|[[category:Hebrew roots]]
ב.ש.ל|[[category:Hebrew roots]]
ב.ש.ל.ל|[[category:Hebrew roots]]
ב.ש.ל.ל|[[category:Hebrew roots]]
ב.ׂ.ש.מ|[[category:Hebrew roots]]
ב.ס.מ|[[category:Hebrew roots]]
ב.ש.ס|[[category:Hebrew roots]]
ב.ׂ.ש.ר|[[category:Hebrew roots]]
ב.ש.ש|[[category:Hebrew roots]]
ב.ת.ד|[[category:Hebrew roots]]
ב.ת.ה|[[category:Hebrew roots]]
ב.ת.ת|[[category:Hebrew roots]]
ב.ת.ל|[[category:Hebrew roots]]
ב.ת.ק|[[category:Hebrew roots]]
ב.ת.ר|[[category:Hebrew roots]]
ב.ת.ת|[[category:Hebrew roots]]
ג.א.ה|[[category:Hebrew roots]]
ג.א.ל|[[category:Hebrew roots]]
ג.ב.א|[[category:Hebrew roots]]
ג.ב.ב|[[category:Hebrew roots]]
ג.ב.ה|[[category:Hebrew roots]]
ג.ב.ח|[[category:Hebrew roots]]
ג.ב.ל|[[category:Hebrew roots]]
ג.ב.נ|[[category:Hebrew roots]]
ג.ב.נ.נ|[[category:Hebrew roots]]
ג.ב.נ.נ|[[category:Hebrew roots]]
ג.ב.ס|[[category:Hebrew roots]]
ג.ב.ע|[[category:Hebrew roots]]
ג.ב.ר|[[category:Hebrew roots]]
ג.ב.ש|[[category:Hebrew roots]]
ג.ב.ש.ש|[[category:Hebrew roots]]
ג.ב.ש.ש|[[category:Hebrew roots]]
ג.ג.ג|[[category:Hebrew roots]]
ג.ד.ד|[[category:Hebrew roots]]
ג.ד.ה|[[category:Hebrew roots]]
ג.ד.ל|[[category:Hebrew roots]]
ג.ד.מ|[[category:Hebrew roots]]
ג.ד.ע|[[category:Hebrew roots]]
ג.ד.פ|[[category:Hebrew roots]]
ג.ד.ר|[[category:Hebrew roots]]
ג.ד.ש|[[category:Hebrew roots]]
ג.ה.א|[[category:Hebrew roots]]
ג.ה.ה|[[category:Hebrew roots]]
נ.ג.ה|[[category:Hebrew roots]]
ג.ה.צ|[[category:Hebrew roots]]
ג.ה.ק|[[category:Hebrew roots]]
ג.ה.ר|[[category:Hebrew roots]]
ג.ו.א|[[category:Hebrew roots]]
ג.ו.ב|[[category:Hebrew roots]]
ג.ו.ד|[[category:Hebrew roots]]
ג.ו.ה|[[category:Hebrew roots]]
ג.ו.ז|[[category:Hebrew roots]]
ג.ו.ח|[[category:Hebrew roots]]
ג.י.ח|[[category:Hebrew roots]]
ג.ו.ל|[[category:Hebrew roots]]
ג.ו.מ|[[category:Hebrew roots]]
ג.ו.נ|[[category:Hebrew roots]]
ג.ו.נ.נ|[[category:Hebrew roots]]
ג.ו.נ.נ|[[category:Hebrew roots]]
ג.ו.ס|[[category:Hebrew roots]]
ג.ו.ע|[[category:Hebrew roots]]
ג.ו.פ|[[category:Hebrew roots]]
ג.ו.ר|[[category:Hebrew roots]]
ג.ו.ש|[[category:Hebrew roots]]
ג.ז.ג.ז|[[category:Hebrew roots]]
ג.ז.ב.ר|[[category:Hebrew roots]]
ג.ז.ה|[[category:Hebrew roots]]
ג.ז.ז|[[category:Hebrew roots]]
ג.ז.ל|[[category:Hebrew roots]]
ג.ז.מ|[[category:Hebrew roots]]
ג.ז.ע|[[category:Hebrew roots]]
ג.ז.ר|[[category:Hebrew roots]]
ג.ח.ג.ח|[[category:Hebrew roots]]
ג.ח.ה|[[category:Hebrew roots]]
ג.ח.כ|[[category:Hebrew roots]]
ג.ח.ל|[[category:Hebrew roots]]
ג.ח.ל.ל|[[category:Hebrew roots]]
ג.ח.ל.ל|[[category:Hebrew roots]]
ג.ח.מ|[[category:Hebrew roots]]
ג.ח.נ|[[category:Hebrew roots]]
ג.י.ד|[[category:Hebrew roots]]
ג.י.ז|[[category:Hebrew roots]]
ג.י.ח|[[category:Hebrew roots]]
ג.י.ל|[[category:Hebrew roots]]
ג.י.ס|[[category:Hebrew roots]]
ג.י.פ|[[category:Hebrew roots]]
ג.י.צ|[[category:Hebrew roots]]
ג.י.ר|[[category:Hebrew roots]]
ג.ל.א|[[category:Hebrew roots]]
ג.ל.ב|[[category:Hebrew roots]]
ג.ל.ג|[[category:Hebrew roots]]
ג.ל.ג.ל|[[category:Hebrew roots]]
ג.ל.ד|[[category:Hebrew roots]]
ג.ל.ה|[[category:Hebrew roots]]
ג.ל.א|[[category:Hebrew roots]]
ג.ל.ו.נ|[[category:Hebrew roots]]
ג.ל.ח|[[category:Hebrew roots]]
ג.ל.ל|[[category:Hebrew roots]]
ג.ל.מ|[[category:Hebrew roots]]
ג.ל.מ.ד|[[category:Hebrew roots]]
ג.ל.י.נ|[[category:Hebrew roots]]
ג.ל.נ|[[category:Hebrew roots]]
ג.ל.י.נ|[[category:Hebrew roots]]
ג.ל.ע|[[category:Hebrew roots]]
ג.ל.ע.נ|[[category:Hebrew roots]]
ג.ל.פ|[[category:Hebrew roots]]
ג.ל.ש|[[category:Hebrew roots]]
ג.מ.א|[[category:Hebrew roots]]
ג.מ.ג.מ|[[category:Hebrew roots]]
ג.מ.ד|[[category:Hebrew roots]]
ג.מ.ה|[[category:Hebrew roots]]
ג.מ.ע|[[category:Hebrew roots]]
ג.מ.ז|[[category:Hebrew roots]]
ג.מ.ט.ר|[[category:Hebrew roots]]
ג.מ.ל|[[category:Hebrew roots]]
ג.מ.מ|[[category:Hebrew roots]]
ג.מ.ע|[[category:Hebrew roots]]
ג.מ.צ|[[category:Hebrew roots]]
ג.מ.ר|[[category:Hebrew roots]]
ג.מ.ש|[[category:Hebrew roots]]
ג.נ.ב|[[category:Hebrew roots]]
ג.נ.ד.ר|[[category:Hebrew roots]]
ג.נ.ה|[[category:Hebrew roots]]
ג.נ.ז|[[category:Hebrew roots]]
ג.נ.ח|[[category:Hebrew roots]]
ג.נ.נ|[[category:Hebrew roots]]
ג.ס.ה|[[category:Hebrew roots]]
ג.ס.ס|[[category:Hebrew roots]]
ג.ע.ג.ע|[[category:Hebrew roots]]
ג.ע.ה|[[category:Hebrew roots]]
ג.ע.ג.ע|[[category:Hebrew roots]]
ג.ע.ל|[[category:Hebrew roots]]
ג.ע.ר|[[category:Hebrew roots]]
ג.ע.ש|[[category:Hebrew roots]]
ג.פ.ל|[[category:Hebrew roots]]
ג.פ.ס|[[category:Hebrew roots]]
ג.פ.פ|[[category:Hebrew roots]]
ג.פ.ר|[[category:Hebrew roots]]
ג.צ.צ|[[category:Hebrew roots]]
ג.ר.ב|[[category:Hebrew roots]]
ג.ר.ג.ר|[[category:Hebrew roots]]
ג.ר.ד|[[category:Hebrew roots]]
ג.ר.ד.ד|[[category:Hebrew roots]]
ג.ר.ד.מ|[[category:Hebrew roots]]
ג.ר.ה|[[category:Hebrew roots]]
ג.ר.ז|[[category:Hebrew roots]]
ג.ר.ט|[[category:Hebrew roots]]
ג.ר.ל|[[category:Hebrew roots]]
ג.ר.מ|[[category:Hebrew roots]]
ג.ר.נ|[[category:Hebrew roots]]
ג.ר.ס|[[category:Hebrew roots]]
ג.ר.ע|[[category:Hebrew roots]]
ג.ר.ע.נ|[[category:Hebrew roots]]
ג.ר.פ|[[category:Hebrew roots]]
א.ג.ר.פ|[[category:Hebrew roots]]
ג.ר.ר|[[category:Hebrew roots]]
נ.ג.ר|[[category:Hebrew roots]]
ג.ר.ׁ.ש|[[category:Hebrew roots]]
ג.ר.ׂ.ש|[[category:Hebrew roots]]
ג.ר.ס|[[category:Hebrew roots]]
ג.ש.ג.ש|[[category:Hebrew roots]]
ג.ש.מ|[[category:Hebrew roots]]
ג.ש.ר|[[category:Hebrew roots]]
ג.ש.ש|[[category:Hebrew roots]]
ג.ש.ג.ש|[[category:Hebrew roots]]
ג.ש.ת|[[category:Hebrew roots]]
ג.ת.ת|[[category:Hebrew roots]]
ד.א.ב|[[category:Hebrew roots]]
ד.א.ג|[[category:Hebrew roots]]
ד.א.ה|[[category:Hebrew roots]]
ד.ב.א|[[category:Hebrew roots]]
ד.ב.ב|[[category:Hebrew roots]]
ד.ב.ד.ב|[[category:Hebrew roots]]
ד.ב.ד.ב|[[category:Hebrew roots]]
ד.ב.ה|[[category:Hebrew roots]]
ד.ב.א|[[category:Hebrew roots]]
ד.ב.ל|[[category:Hebrew roots]]
ד.ב.ל.ל|[[category:Hebrew roots]]
ד.ב.ל.ל|[[category:Hebrew roots]]
ד.ב.ע|[[category:Hebrew roots]]
ד.ב.ק|[[category:Hebrew roots]]
ד.ב.ר|[[category:Hebrew roots]]
ד.ב.ש|[[category:Hebrew roots]]
ד.ג.ד.ג|[[category:Hebrew roots]]
ד.ג.ה|[[category:Hebrew roots]]
ד.ג.ל|[[category:Hebrew roots]]
ד.ג.ל.ל|[[category:Hebrew roots]]
ד.ג.ל.ל|[[category:Hebrew roots]]
ד.ג.מ|[[category:Hebrew roots]]
ד.ג.נ|[[category:Hebrew roots]]
ד.ג.ר|[[category:Hebrew roots]]
ד.ג.ש|[[category:Hebrew roots]]
ד.ד.א|[[category:Hebrew roots]]
ד.ד.ד|[[category:Hebrew roots]]
ד.ד.ה|[[category:Hebrew roots]]
ד.ד.א|[[category:Hebrew roots]]
ד.ה.ב|[[category:Hebrew roots]]
ד.ה.ה|[[category:Hebrew roots]]
ד.ה.מ|[[category:Hebrew roots]]
ד.ה.נ|[[category:Hebrew roots]]
ד.ה.ר|[[category:Hebrew roots]]
ד.ה.ר.ר|[[category:Hebrew roots]]
ד.ה.ר.ר|[[category:Hebrew roots]]
ד.ו.ב|[[category:Hebrew roots]]
ד.ו.ג|[[category:Hebrew roots]]
ד.ו.ד|[[category:Hebrew roots]]
ד.ו.ה|[[category:Hebrew roots]]
ד.ו.ח|[[category:Hebrew roots]]
ד.ו.כ|[[category:Hebrew roots]]
ד.ו.מ|[[category:Hebrew roots]]
ד.ו.מ.מ|[[category:Hebrew roots]]
ד.ו.נ|[[category:Hebrew roots]]
ד.ו.צ|[[category:Hebrew roots]]
